受注拠点コード,受注拠点名
1000,三重県横浜市瀬谷区
1001,秋田県世田谷区
1002,香川県鎌ケ谷市
1003,神奈川県三鷹市
1004,静岡県横浜市神奈川区
1005,長野県八王子市
1006,富山県いすみ市
1007,徳島県荒川区
1008,鹿児島県国立市
1009,京都府横浜市磯子区
1010,山口県目黒区
1011,広島県八千代市
1012,岩手県匝瑳市
1013,熊本県北区
1014,愛知県小金井市
1015,愛知県長生郡長生村
1016,広島県長生郡長南町
1017,秋田県印旛郡印旛村
1018,群馬県江東区
1019,東京都杉並区
1020,栃木県東久留米市
1021,栃木県調布市
1022,山形県あきる野市
1023,新潟県中央区
1024,愛媛県長生郡一宮町
1025,長崎県北区
1026,三重県御蔵島村
1027,三重県三宅島三宅村
1028,神奈川県目黒区
1029,東京都江東区
1030,新潟県香取郡多古町
1031,熊本県狛江市
1032,北海道横浜市金沢区
1033,沖縄県白井市
1034,石川県立川市
1035,熊本県横浜市西区
1036,長崎県江戸川区
1037,鹿児島県横浜市青葉区
1038,宮崎県台東区
1039,千葉県横浜市金沢区
1040,静岡県調布市
1041,熊本県八千代市
1042,神奈川県町田市
1043,滋賀県西多摩郡奥多摩町
1044,沖縄県山武郡芝山町
1045,山梨県西東京市
1046,大阪府白井市
1047,和歌山県長生郡白子町
1048,群馬県印西市
1049,長崎県稲城市
1050,三重県横浜市旭区
1051,神奈川県香取郡神崎町
1052,大分県夷隅郡大多喜町
1053,大分県長生郡長南町
1054,三重県府中市
1055,山梨県印旛郡栄町
1056,徳島県横浜市青葉区
1057,鳥取県御蔵島村
1058,山口県西多摩郡瑞穂町
1059,千葉県中央区
1060,新潟県八丈島八丈町
1061,宮城県富津市
1062,広島県国分寺市
1063,東京都横浜市保土ケ谷区
1064,茨城県富津市
1065,静岡県八丈島八丈町
1066,熊本県白井市
1067,群馬県南房総市
1068,三重県立川市
1069,山梨県羽村市
1070,埼玉県印旛郡酒々井町
1071,長野県武蔵野市
1072,島根県川崎市多摩区
1073,東京都夷隅郡御宿町
1074,熊本県富津市
1075,東京都横浜市青葉区
1076,神奈川県印旛郡印旛村
1077,群馬県稲城市
1078,徳島県渋谷区
1079,佐賀県横浜市港南区
1080,徳島県横浜市泉区
1081,福岡県横浜市神奈川区
1082,東京都八街市
1083,兵庫県小平市
1084,兵庫県目黒区
1085,青森県西多摩郡瑞穂町
1086,新潟県横浜市旭区
1087,福井県横浜市神奈川区
1088,高知県杉並区
1089,愛媛県昭島市
1090,茨城県袖ケ浦市
1091,大阪府青梅市
1092,石川県板橋区
1093,青森県小金井市
1094,宮崎県長生郡長南町
1095,福岡県横浜市鶴見区
1096,島根県立川市
1097,千葉県三鷹市
1098,千葉県印旛郡印旛村
1099,宮城県香取郡神崎町
