品番,品名
1000,Azure
1001,MediumVioletRed
1002,Plum
1003,DarkCyan
1004,DarkSlateBlue
1005,DarkGray
1006,LawnGreen
1007,DodgerBlue
1008,LightSlateGray
1009,Fuchsia
1010,Blue
1011,Sienna
1012,DarkCyan
1013,GreenYellow
1014,LemonChiffon
1015,Peru
1016,MediumTurquoise
1017,Teal
1018,Yellow
1019,DarkGoldenRod
1020,DeepPink
1021,DarkSlateBlue
1022,MediumSeaGreen
1023,DarkKhaki
1024,Violet
1025,Coral
1026,Lavender
1027,Orange
1028,Linen
1029,DeepSkyBlue
1030,Bisque
1031,MediumTurquoise
1032,BlanchedAlmond
1033,BlanchedAlmond
1034,FireBrick
1035,Green
1036,SpringGreen
1037,BlueViolet
1038,CadetBlue
1039,DarkGoldenRod
1040,LightPink
1041,DarkOliveGreen
1042,LemonChiffon
1043,LightCyan
1044,LawnGreen
1045,Yellow
1046,PeachPuff
1047,SeaShell
1048,LightSlateGray
1049,LightSeaGreen
1050,LightGray
1051,Wheat
1052,PaleGreen
1053,LimeGreen
1054,Brown
1055,DarkSlateGray
1056,SlateGray
1057,LightBlue
1058,LawnGreen
1059,Brown
1060,Magenta
1061,DarkSlateBlue
1062,LightYellow
1063,DeepSkyBlue
1064,Purple
1065,Khaki
1066,LightGreen
1067,RoyalBlue
1068,BurlyWood
1069,LemonChiffon
1070,YellowGreen
1071,DarkOliveGreen
1072,Indigo
1073,Lavender
1074,Magenta
1075,Navy
1076,HotPink
1077,Gold
1078,LightGoldenRodYellow
1079,GhostWhite
1080,Cyan
1081,DarkTurquoise
1082,White
1083,SpringGreen
1084,HoneyDew
1085,HotPink
1086,MediumOrchid
1087,Maroon
1088,DarkSeaGreen
1089,LavenderBlush
1090,Linen
1091,LightGreen
1092,Aqua
1093,AliceBlue
1094,WhiteSmoke
1095,MidnightBlue
1096,Magenta
1097,Salmon
1098,DarkSlateGray
1099,MediumSpringGreen
