拠点コード,拠点名
1000,長野県新宿区
1001,福井県福生市
1002,秋田県江戸川区
1003,福島県目黒区
1004,兵庫県横浜市神奈川区
1005,岡山県山武郡横芝光町
1006,北海道武蔵野市
1007,富山県葛飾区
1008,東京都富里市
1009,静岡県横浜市緑区
1010,岡山県白井市
1011,和歌山県横浜市神奈川区
1012,三重県目黒区
1013,秋田県清瀬市
1014,大分県横浜市保土ケ谷区
1015,福井県四街道市
1016,和歌山県いすみ市
1017,徳島県中野区
1018,埼玉県八丈島八丈町
1019,島根県世田谷区
1020,長野県横浜市栄区
1021,宮崎県印旛郡印旛村
1022,北海道横浜市港北区
1023,京都府北区
1024,奈良県大島町
1025,岩手県安房郡鋸南町
1026,兵庫県横浜市港南区
1027,宮城県川崎市多摩区
1028,佐賀県長生郡白子町
1029,徳島県浦安市
1030,大阪府横浜市磯子区
1031,岩手県台東区
1032,宮城県西多摩郡奥多摩町
1033,福島県袖ケ浦市
1034,京都府昭島市
1035,山梨県富里市
1036,山形県羽村市
1037,北海道羽村市
1038,京都府川崎市高津区
1039,徳島県町田市
1040,沖縄県東村山市
1041,三重県台東区
1042,静岡県横浜市青葉区
1043,栃木県川崎市川崎区
1044,福島県福生市
1045,高知県武蔵野市
1046,兵庫県千代田区
1047,石川県目黒区
1048,福岡県横浜市鶴見区
1049,佐賀県御蔵島村
1050,岐阜県品川区
1051,鳥取県川崎市多摩区
1052,愛知県八丈島八丈町
1053,沖縄県川崎市中原区
1054,島根県夷隅郡御宿町
1055,石川県横浜市都筑区
1056,茨城県横浜市中区
1057,富山県小平市
1058,富山県長生郡一宮町
1059,滋賀県印旛郡栄町
1060,宮崎県国分寺市
1061,兵庫県横浜市金沢区
1062,茨城県東大和市
1063,香川県横浜市泉区
1064,岐阜県横浜市旭区
1065,群馬県長生郡長生村
1066,大分県山武郡横芝光町
1067,大分県川崎市高津区
1068,鹿児島県墨田区
1069,宮崎県八千代市
1070,千葉県小平市
1071,北海道杉並区
1072,青森県横浜市磯子区
1073,岐阜県荒川区
1074,大阪府富津市
1075,大分県我孫子市
1076,熊本県三宅島三宅村
1077,鳥取県調布市
1078,岐阜県西多摩郡日の出町
1079,愛知県武蔵野市
1080,茨城県西多摩郡日の出町
1081,富山県小平市
1082,鳥取県長生郡一宮町
1083,三重県匝瑳市
1084,三重県四街道市
1085,岩手県夷隅郡御宿町
1086,島根県横浜市戸塚区
1087,秋田県小金井市
1088,愛知県調布市
1089,兵庫県横浜市港南区
1090,山口県西多摩郡檜原村
1091,富山県墨田区
1092,広島県四街道市
1093,沖縄県横浜市金沢区
1094,三重県鎌ケ谷市
1095,石川県御蔵島村
1096,鹿児島県袖ケ浦市
1097,奈良県横浜市西区
1098,岡山県香取郡東庄町
1099,栃木県横浜市都筑区
