仕向先コード,仕向先名
1000,斎藤建設有限会社
1001,株式会社小林建設
1002,高橋銀行株式会社
1003,株式会社小林保険
1004,山口鉱業有限会社
1005,有限会社山田鉱業
1006,合同会社山本水産
1007,合同会社山崎銀行
1008,合同会社前田水産
1009,株式会社橋本銀行
1010,有限会社山崎運輸
1011,株式会社渡辺情報
1012,村上農林株式会社
1013,有限会社田中保険
1014,小林農林有限会社
1015,株式会社石井ガス
1016,遠藤鉱業株式会社
1017,田中印刷有限会社
1018,木村電気株式会社
1019,合同会社中村建設
1020,株式会社青木印刷
1021,鈴木印刷有限会社
1022,合同会社田中情報
1023,吉田建設有限会社
1024,有限会社田中銀行
1025,有限会社伊藤銀行
1026,鈴木建設合同会社
1027,佐藤情報有限会社
1028,山口銀行有限会社
1029,株式会社佐藤ガス
1030,斉藤水産合同会社
1031,有限会社山口ガス
1032,株式会社山田通信
1033,合同会社鈴木保険
1034,株式会社坂本運輸
1035,山口電気株式会社
1036,有限会社吉田電気
1037,田中建設合同会社
1038,井上水産合同会社
1039,有限会社長谷川電気
1040,高橋鉱業有限会社
1041,株式会社吉田電気
1042,林農林有限会社
1043,高橋水産有限会社
1044,株式会社佐藤ガス
1045,合同会社佐藤建設
1046,吉田通信合同会社
1047,斎藤銀行合同会社
1048,合同会社藤田水産
1049,合同会社井上保険
1050,藤井電気株式会社
1051,佐藤農林有限会社
1052,坂本運輸株式会社
1053,合同会社田中通信
1054,石井建設有限会社
1055,森鉱業合同会社
1056,合同会社鈴木農林
1057,中川銀行有限会社
1058,渡辺銀行合同会社
1059,有限会社田中保険
1060,小林運輸株式会社
1061,斎藤食品株式会社
1062,井上保険有限会社
1063,長谷川銀行株式会社
1064,株式会社中村ガス
1065,鈴木食品株式会社
1066,合同会社佐藤銀行
1067,長谷川運輸株式会社
1068,佐々木銀行株式会社
1069,石井農林合同会社
1070,吉田通信株式会社
1071,株式会社加藤鉱業
1072,山本運輸合同会社
1073,木村電気有限会社
1074,株式会社斉藤建設
1075,株式会社村上運輸
1076,有限会社小川建設
1077,田中保険合同会社
1078,佐々木水産合同会社
1079,株式会社小林鉱業
1080,株式会社田中水産
1081,鈴木水産株式会社
1082,株式会社山下鉱業
1083,高橋銀行株式会社
1084,鈴木農林株式会社
1085,株式会社近藤運輸
1086,山口鉱業有限会社
1087,坂本印刷合同会社
1088,山田運輸合同会社
1089,有限会社佐藤情報
1090,藤原通信株式会社
1091,伊藤建設株式会社
1092,佐藤保険有限会社
1093,高橋ガス有限会社
1094,株式会社中島農林
1095,藤井鉱業合同会社
1096,山本農林有限会社
1097,合同会社佐藤食品
1098,橋本食品株式会社
1099,有限会社佐藤保険
